"","V1","V2","V3","V4","V5"
"1","Carex_satsumensis|TAI|spm00005838","0.238923600278992","0.0279870219411765","0.210936578337816","0.264611111548428"
"2","Carex_bostrychostigma|JAP|spm00003784","0.238923600278992","0.0279870219411765","0.210936578337816","1.57331662478825"
"3","Carex_dissitiflora|JAP|spm00007871","0.238923600278992","0.0279870219411765","0.210936578337816","2.26009783268749"
"4","Carex_microglochin|NOR|spm00001705","0.238923600278992","0.0279870219411765","0.210936578337816","90.3719412173807"
"5","Carex_nardina|QUE|spm00001510","0.238923600278992","0.0279870219411765","0.210936578337816","0.672374944577841"
"6","Carex_rupestris|FRA|spm00005213","0.238923600278992","0.0279870219411765","0.210936578337816","0.0159823376824465"
"7","Carex_argunensis|KHA|spm00006472","0.238923600278992","0.0279870219411765","0.210936578337816","90.3719412173807"
"8","Carex_obtusata|MAN|spm00001107","0.238923600278992","0.0279870219411765","0.210936578337816","1.25803477272387"
"9","Carex_runssoroensis|UGA|spm00000227","0.238923600278992","0.0279870219411765","0.210936578337816","0.609333371900294"
"10","Carex_arctogena|CAL|NCBI_CAL_55","0.238923600278992","0.0279870219411765","0.210936578337816","0.609333371900294"
"11","Carex_capitata|KRA|spm00002036","0.238923600278992","0.0279870219411765","0.210936578337816","0.0726754892934162"
"12","Carex_pauciflora|ASK|spm00001142","0.238923600278992","0.0279870219411765","0.210936578337816","0.383345407745739"
"13","Carex_pyrenaica|SPA|spm00000582","0.238923600278992","0.0279870219411765","0.210936578337816","90.3719412173807"
"14","Carex_micropoda|ASK|spm00001632","0.238923600278992","0.0279870219411765","0.210936578337816","5.39006008253534"
"15","Carex_nigricans|ASK|spm00001638","0.238923600278992","0.0279870219411765","0.210936578337816","90.3719412173807"
"16","Carex_anthoxanthea|WAS|spm00001568","0.238923600278992","0.0279870219411765","0.210936578337816","90.3719412173807"
"17","Carex_filifolia_var_filifolia|CAL|spm00001432","0.238923600278992","0.0279870219411765","0.210936578337816","90.3719412173807"
"18","Carex_onoei|CHM|spm00004513","0.238923600278992","0.0279870219411765","0.210936578337816","90.3719412173807"
"19","Carex_leptalea|MIC|spm00001032","0.238923600278992","0.0279870219411765","0.210936578337816","90.3719412173807"
"20","Carex_esenbeckii|EHM|spm00005193","0.238923600278992","0.0279870219411765","0.210936578337816","0.467746650333248"
"21","Carex_borealipolaris|MNT|spm00001831","0.238923600278992","0.0279870219411765","0.210936578337816","0.546445876825509"
"22","Carex_myosuroides|FRA|spm00005196","0.238923600278992","0.0279870219411765","0.210936578337816","0.546445876825509"
"23","Carex_deasyi|EHM|spm00005198","0.238923600278992","0.0279870219411765","0.210936578337816","90.3719412173807"
"24","Carex_parvula||spm00003656","0.238923600278992","0.0279870219411765","0.210936578337816","90.3719412173807"
"25","Carex_macroprophylla|CHC|spm00003400","0.238923600278992","0.0279870219411765","0.210936578337816","90.3719412173807"
"26","Carex_neesii|EHM|spm00005194","0.238923600278992","0.0279870219411765","0.210936578337816","90.3719412173807"
"27","Carex_cercostachys|EHM|spm00005901","0.238923600278992","0.0279870219411765","0.210936578337816","90.3719412173807"
"28","Carex_bonatiana|EHM|spm00005907","0.238923600278992","0.0279870219411765","0.210936578337816","1.8868463745752"
